cuda:1
Namespace(withAug=True, AugDirect=20, method_name='SAGE', seed=100, IsDirectedData=False, dataset='WebKB/texas', undirect_dataset='Cora', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
excel_file_path is  TrueAug_SAGE_Cora_output.xlsx
12-04-19:36:29
Dataset is  Cora() 
Chosen from DirectedData:  False
Num of bidrected edges: 5278, total num of edges: 10556
This is directed graph:  False
data_x torch.Size([2708, 1433])
cuda:1
0
mu  cpu cpu
GraphSAGE2(
  (conv1): SAGEConv(1433, 64)
  (conv2): SAGEConv(64, 7)
)
cuda:1
Epoch:256, test_Acc: 73.00, test_bacc: 61.46, test_f1: 63.46
Epoch:257, test_Acc: 73.80, test_bacc: 62.50, test_f1: 64.61
Epoch:258, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:259, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:260, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:261, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:262, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:263, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:264, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:265, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:266, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:267, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:268, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:269, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:270, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
Epoch:271, test_Acc: 73.80, test_bacc: 62.55, test_f1: 64.57
