Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.test.index
Processing...
Done!
cuda:0
Namespace(withAug=True, AugDirect=20, method_name='Cheb', seed=100, IsDirectedData=False, dataset='WebKB/texas', undirect_dataset='Cora', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
excel_file_path is  TrueAug_Cheb_Cora_output.xlsx
12-04-18:35:08
Dataset is  Cora() 
Chosen from DirectedData:  False
Num of bidrected edges: 5278, total num of edges: 10556
This is directed graph:  False
data_x torch.Size([2708, 1433])
cuda:0
0
mu  cpu cpu
ChebModelBen(
  (conv1): ChebConv(1433, 2, K=2, normalization=sym)
  (conv2): ChebConv(2, 2, K=2, normalization=sym)
  (Conv): Conv1d(2, 7, kernel_size=(1,), stride=(1,))
)
cuda:0
Epoch:0, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:1, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:2, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:3, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:4, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:5, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:6, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:7, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:8, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:9, test_Acc: 10.30, test_bacc: 14.29, test_f1: 2.67
Epoch:10, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:11, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:12, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:13, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:14, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:15, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:16, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:17, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:18, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:19, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:20, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:21, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:22, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:23, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:24, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:25, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:26, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:27, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:28, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:29, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:30, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:31, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:32, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:33, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:34, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:35, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:36, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:37, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:38, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:39, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:40, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:41, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:42, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:43, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:44, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
Epoch:45, test_Acc: 31.90, test_bacc: 14.29, test_f1: 6.91
